Stock A,Stock B,Correlation,Lag,Transfer Entropy
SHRIRAMFIN.NS,BAJAJHLDNG.NS,0.6142849702641077,10,0.21565994577625447
SHRIRAMFIN.NS,CHOLAFIN.NS,0.7364698533963786,-14,0.33124695559282924
SHRIRAMFIN.NS,BAJAJFINSV.NS,0.5553942729736955,1,0.3033997211975644
SHRIRAMFIN.NS,BAJFINANCE.NS,0.26768610330816117,-1,0.41770400925810036
SHRIRAMFIN.NS,INDUSINDBK.NS,-0.6050708109868965,20,0.23379892136461666
SHRIRAMFIN.NS,HINDALCO.NS,0.6073872618529434,-17,0.31612049111074814
SHRIRAMFIN.NS,COALINDIA.NS,0.5785347605975416,-20,0.367375691026414
SHRIRAMFIN.NS,HDFCBANK.NS,0.7142222127815114,1,0.364263068454887
SHRIRAMFIN.NS,SUNPHARMA.NS,0.883234952466854,14,0.36288391979440515
SHRIRAMFIN.NS,ZOMATO.NS,0.8561889071942841,3,0.2753713441318997
SHRIRAMFIN.NS,AXISBANK.NS,0.6126060633318252,-20,0.32437347209935186
SHRIRAMFIN.NS,JSWSTEEL.NS,0.7811503784252741,-1,0.25542438075092866
SHRIRAMFIN.NS,ICICIGI.NS,0.8872106331576901,1,0.27070877726090403
SHRIRAMFIN.NS,NAUKRI.NS,0.7952368779658995,17,0.20585099477786573
SHRIRAMFIN.NS,NESTLEIND.NS,-0.315116701145778,20,0.2897408171583382
SHRIRAMFIN.NS,RELIANCE.NS,-0.3870141407214359,20,0.4053779643182699
SHRIRAMFIN.NS,INDIGO.NS,0.7533834586466165,-3,0.2768320920240346
SHRIRAMFIN.NS,BHARTIARTL.NS,0.7481521618066649,13,0.23706604737018944
SHRIRAMFIN.NS,ICICIBANK.NS,0.7610238170868001,17,0.4029096425933937
SHRIRAMFIN.NS,WIPRO.NS,0.552908588369264,20,0.36891715274769166
SHRIRAMFIN.NS,POWERGRID.NS,0.785059149579075,-15,0.36660415329764384
SHRIRAMFIN.NS,TITAN.NS,-0.11081268984596099,20,0.5643288374781483
SHRIRAMFIN.NS,ATGL.NS,-0.6544437377377939,20,0.3159289914351364
SHRIRAMFIN.NS,SHREECEM.NS,-0.29407532501274075,20,0.5658088917349398
SHRIRAMFIN.NS,ADANIPORTS.NS,0.5917957288630531,-20,0.4184862579617751
SHRIRAMFIN.NS,SBILIFE.NS,0.6816067797357748,-18,0.31626477818254095
SHRIRAMFIN.NS,DRREDDY.NS,0.602704347384395,4,0.33518266007430886
SHRIRAMFIN.NS,TATACONSUM.NS,0.30474349436469794,-20,0.3185763330216431
SHRIRAMFIN.NS,INFY.NS,0.7684781817834773,6,0.31901572023104263
SHRIRAMFIN.NS,BRITANNIA.NS,0.7840603319727674,-20,0.30608340364084174
SHRIRAMFIN.NS,ZYDUSLIFE.NS,0.6301257410571972,-20,0.3673666029419791
SHRIRAMFIN.NS,ADANIENT.NS,-0.4502955094259301,20,0.40064642078815216
SHRIRAMFIN.NS,HAL.NS,0.5940155171763591,-20,0.3089284620592494
SHRIRAMFIN.NS,ADANIENSOL.NS,-0.4143237687160666,20,0.3746656701327781
SHRIRAMFIN.NS,LODHA.NS,0.2545606529970212,-3,0.42593415103668764
SHRIRAMFIN.NS,TCS.NS,0.6717249463197981,-10,0.5463992027249891
SHRIRAMFIN.NS,JINDALSTEL.NS,0.40746022892889056,-19,0.41735444463955196
SHRIRAMFIN.NS,ITC.NS,0.8281505310047175,-13,0.31962559421108494
SHRIRAMFIN.NS,TATASTEEL.NS,-0.5474057149372837,20,0.38035536993917596
SHRIRAMFIN.NS,HINDUNILVR.NS,0.8637874458649215,-19,0.2303615579907814
SHRIRAMFIN.NS,HDFCLIFE.NS,0.7800770439230376,-5,0.2512592944212586
SHRIRAMFIN.NS,BANKBARODA.NS,-0.5418223242607921,20,0.3871291358026535
SHRIRAMFIN.NS,PFC.NS,0.7054869641247131,-19,0.4449952472415264
SHRIRAMFIN.NS,DMART.NS,0.47882545741608634,-20,0.4203322809491843
SHRIRAMFIN.NS,SBIN.NS,0.3462426950013686,-20,0.46201068543188883
SHRIRAMFIN.NS,GODREJCP.NS,0.6448487440535803,-20,0.430331153714974
SHRIRAMFIN.NS,UNITDSPR.NS,0.8269179032245556,3,0.29707657475686733
SHRIRAMFIN.NS,UNIONBANK.NS,-0.7128810226169596,20,0.25427795842777123
